"category","Difference Male More Strict AvgDeathsPer100k - Female Less Strict AvgDeathsPer100k","t_value","p_value"
"All",9.77963364735942,-4.8395356640779,2.57361854301047e-06
"Firearm",8.89462021908756,-5.52714426491132,1.36714958592318e-07
"Non-Firearm",2.69202124755483,-2.12757647810093,0.0344620172408046
