"category","Difference Male AvgDeathsPer100k - Female AvgDeathsPer100k","t_value","p_value"
"All",20.4891327104652,-13.5440430801466,6.41585314970383e-36
"Firearm",19.7066915152458,-14.7911812445082,1.0257311359962e-39
"Non-Firearm",7.31245560023285,-7.85945820427316,1.96655552091246e-14
