"","Age","grade","Sex","YearGroup","category","AvgDeathsPer100k","AvgDeathsPer100k_impute"
"74",21,"Less Strict","Females","2015-2021","Firearm",0,3.03135277039165
"75",21,"Less Strict","Males","2001-2014","Firearm",13.9461793175346,13.9038403373471
"76",21,"Less Strict","Males","2015-2021","Firearm",22.7753500448137,19.1536887287418
"77",21,"More Strict","Females","2001-2014","Firearm",0,1.26112535111213
"78",21,"More Strict","Females","2015-2021","Firearm",0,1.51674473107724
"79",21,"More Strict","Males","2001-2014","Firearm",7.56007732574865,9.72801905349939
"80",21,"More Strict","Males","2015-2021","Firearm",13.4337503922682,11.1268248395883
"81",22,"Less Strict","Females","2001-2014","Firearm",0,2.19535763602021
"82",22,"Less Strict","Females","2015-2021","Firearm",0,3.02191201686559
"83",22,"Less Strict","Males","2001-2014","Firearm",15.3215871363292,14.506091278011
"84",22,"Less Strict","Males","2015-2021","Firearm",22.0984981695422,18.8508508759686
"85",22,"More Strict","Females","2001-2014","Firearm",0,1.24430747007264
"86",22,"More Strict","Females","2015-2021","Firearm",0,1.38932338513913
"87",22,"More Strict","Males","2001-2014","Firearm",7.7906610934909,9.97910530531698
"88",22,"More Strict","Males","2015-2021","Firearm",13.4944495487604,11.0635344339463
"89",23,"Less Strict","Females","2001-2014","Firearm",0,2.15771669501157
"90",23,"Less Strict","Females","2015-2021","Firearm",0,3.04276274558856
"91",23,"Less Strict","Males","2001-2014","Firearm",14.3718765887113,14.7705288714797
"92",23,"Less Strict","Males","2015-2021","Firearm",21.4132059589424,18.9061528134449
"93",23,"More Strict","Females","2001-2014","Firearm",0,1.22896188731963
"94",23,"More Strict","Females","2015-2021","Firearm",0,1.54178003644474
"95",23,"More Strict","Males","2001-2014","Firearm",7.75378109937071,10.2674747995453
"96",23,"More Strict","Males","2015-2021","Firearm",12.7652002925054,11.0939894463781
"97",24,"Less Strict","Females","2001-2014","Firearm",0,2.27169904892663
"98",24,"Less Strict","Females","2015-2021","Firearm",0,2.98298598990913
"99",24,"Less Strict","Males","2001-2014","Firearm",13.7836850938005,15.4150737573211
"100",24,"Less Strict","Males","2015-2021","Firearm",19.4866730874739,21.5355698619915
"101",24,"More Strict","Females","2001-2014","Firearm",0,1.28253129704285
"102",24,"More Strict","Females","2015-2021","Firearm",0,1.31790974493844
"103",24,"More Strict","Males","2001-2014","Firearm",9.16557884627033,9.30626684445196
"104",24,"More Strict","Males","2015-2021","Firearm",12.211030503441,11.4024017754696
"105",25,"Less Strict","Females","2001-2014","Firearm",0,2.28767038073146
"106",25,"Less Strict","Females","2015-2021","Firearm",1.12096791843197,2.899028188776
"107",25,"Less Strict","Males","2001-2014","Firearm",12.9319433227032,16.0466066018181
"108",25,"Less Strict","Males","2015-2021","Firearm",19.7048874291457,20.4566095756788
"109",25,"More Strict","Females","2001-2014","Firearm",0,1.274203181151
"110",25,"More Strict","Females","2015-2021","Firearm",0,1.39465198974542
"111",25,"More Strict","Males","2001-2014","Firearm",7.99473843160518,9.72801190791351
"112",25,"More Strict","Males","2015-2021","Firearm",11.5436861405967,10.7762123686857
"113",26,"Less Strict","Females","2001-2014","Firearm",0,2.29990885227538
"114",26,"Less Strict","Females","2015-2021","Firearm",0,3.07818105042273
"115",26,"Less Strict","Males","2001-2014","Firearm",13.9846909468677,16.3298449524195
"116",26,"Less Strict","Males","2015-2021","Firearm",18.6266268924944,20.6904972955372
"117",26,"More Strict","Females","2001-2014","Firearm",0,1.31451874769435
"118",26,"More Strict","Females","2015-2021","Firearm",0,1.29305716380842
"119",26,"More Strict","Males","2001-2014","Firearm",7.4911105170032,9.4875359789707
"120",26,"More Strict","Males","2015-2021","Firearm",10.6995144301123,11.2894541907674
"121",27,"Less Strict","Females","2001-2014","Firearm",0.205300531235655,2.302581705777
"122",27,"Less Strict","Females","2015-2021","Firearm",0,3.04501988625955
"123",27,"Less Strict","Males","2001-2014","Firearm",12.5960679105097,16.03785506182
"124",27,"Less Strict","Males","2015-2021","Firearm",17.389559997872,21.1478908840115
"125",27,"More Strict","Females","2001-2014","Firearm",0,1.30059037117604
"126",27,"More Strict","Females","2015-2021","Firearm",0,1.25318368330974
"127",27,"More Strict","Males","2001-2014","Firearm",7.25073195420167,9.89915798246113
"128",27,"More Strict","Males","2015-2021","Firearm",10.7693915120893,11.2016456235752
"129",28,"Less Strict","Females","2001-2014","Firearm",0,2.41360067225814
"130",28,"Less Strict","Females","2015-2021","Firearm",0,3.13378785546602
"131",28,"Less Strict","Males","2001-2014","Firearm",12.1923110299774,16.4745211234251
"132",28,"Less Strict","Males","2015-2021","Firearm",16.8656963375878,21.3471733718475
"133",28,"More Strict","Females","2001-2014","Firearm",0,1.25956680348711
"134",28,"More Strict","Females","2015-2021","Firearm",0,1.33067444108091
"135",28,"More Strict","Males","2001-2014","Firearm",7.40240732149388,10.181464502307
"136",28,"More Strict","Males","2015-2021","Firearm",9.35587533137791,11.2256415848984
"137",29,"Less Strict","Females","2001-2014","Firearm",0,2.34942457786447
"138",29,"Less Strict","Females","2015-2021","Firearm",0.686730828456224,3.24802640104126
"139",29,"Less Strict","Males","2001-2014","Firearm",11.74936953802,16.8612210336048
"140",29,"Less Strict","Males","2015-2021","Firearm",17.0912499218533,22.0563928024596
"141",29,"More Strict","Females","2001-2014","Firearm",0,1.32078828016786
"142",29,"More Strict","Females","2015-2021","Firearm",0,1.31410250296256
"143",29,"More Strict","Males","2001-2014","Firearm",6.99400240601264,10.2691901549995
"144",29,"More Strict","Males","2015-2021","Firearm",9.06973619384602,10.9245319266698
"145",30,"Less Strict","Females","2001-2014","Firearm",0,2.21668730648848
"146",30,"Less Strict","Females","2015-2021","Firearm",0.560621078455556,3.21935961906927
"147",30,"Less Strict","Males","2001-2014","Firearm",12.4433517861338,16.6617131328721
"148",30,"Less Strict","Males","2015-2021","Firearm",17.0809476305794,21.6963170311521
"149",30,"More Strict","Females","2001-2014","Firearm",0,1.23437715973614
"150",30,"More Strict","Females","2015-2021","Firearm",0,1.31628569249686
"151",30,"More Strict","Males","2001-2014","Firearm",6.45328804770929,9.98915683192041
"152",30,"More Strict","Males","2015-2021","Firearm",9.41844815560655,11.1149034259015
"153",31,"Less Strict","Females","2001-2014","Firearm",0,2.32453667981821
"154",31,"Less Strict","Females","2015-2021","Firearm",0,3.39038405189548
"155",31,"Less Strict","Males","2001-2014","Firearm",12.3960764967489,16.8532273468003
"156",31,"Less Strict","Males","2015-2021","Firearm",15.5634328012864,22.123462645796
"157",31,"More Strict","Females","2001-2014","Firearm",0,1.47532087232135
"158",31,"More Strict","Females","2015-2021","Firearm",0,1.31606578726769
"159",31,"More Strict","Males","2001-2014","Firearm",7.33081833809965,9.95193238919848
"160",31,"More Strict","Males","2015-2021","Firearm",10.1125425162144,11.3435651864062
"161",32,"Less Strict","Females","2001-2014","Firearm",0,2.28978042626796
"162",32,"Less Strict","Females","2015-2021","Firearm",0.622772033051757,3.28864888614965
"163",32,"Less Strict","Males","2001-2014","Firearm",12.3424407125675,16.2082602582235
"164",32,"Less Strict","Males","2015-2021","Firearm",17.1294154887481,22.4510453054484
"165",32,"More Strict","Females","2001-2014","Firearm",0,1.33152103009695
"166",32,"More Strict","Females","2015-2021","Firearm",0,1.25311915505813
"167",32,"More Strict","Males","2001-2014","Firearm",6.18517845067279,10.3316959864158
"168",32,"More Strict","Males","2015-2021","Firearm",9.28982588622926,11.4847072657932
"169",33,"Less Strict","Females","2001-2014","Firearm",0,2.32385297715518
"170",33,"Less Strict","Females","2015-2021","Firearm",0,3.21837072280994
"171",33,"Less Strict","Males","2001-2014","Firearm",12.7097148805635,17.1871609168487
"172",33,"Less Strict","Males","2015-2021","Firearm",16.6978268188998,21.4863590486061
"173",33,"More Strict","Females","2001-2014","Firearm",0,1.27703209881576
"174",33,"More Strict","Females","2015-2021","Firearm",0,1.45840266270234
"175",33,"More Strict","Males","2001-2014","Firearm",6.45275708431555,10.2198768595611
"176",33,"More Strict","Males","2015-2021","Firearm",9.11758558434014,11.5249467604451
"177",34,"Less Strict","Females","2001-2014","Firearm",0,2.40997883013064
"178",34,"Less Strict","Females","2015-2021","Firearm",0.426729117050517,3.1299292807747
"179",34,"Less Strict","Males","2001-2014","Firearm",11.1422038985543,17.7088032404019
"180",34,"Less Strict","Males","2015-2021","Firearm",15.8776100065775,22.2396956077018
"181",34,"More Strict","Females","2001-2014","Firearm",0,1.38466520129285
"182",34,"More Strict","Females","2015-2021","Firearm",0,1.21350468918437
"183",34,"More Strict","Males","2001-2014","Firearm",7.06848282946081,11.082629120036
"184",34,"More Strict","Males","2015-2021","Firearm",8.58072215357645,11.5018331180399
"185",35,"Less Strict","Females","2001-2014","Firearm",0,2.52829844281482
"186",35,"Less Strict","Females","2015-2021","Firearm",0,3.13755628432253
"187",35,"Less Strict","Males","2001-2014","Firearm",12.1433670591362,17.2469350668177
"188",35,"Less Strict","Males","2015-2021","Firearm",15.9778015810048,21.0239042795186
"189",35,"More Strict","Females","2001-2014","Firearm",0,1.34789600173609
"190",35,"More Strict","Females","2015-2021","Firearm",0,1.24973319188205
"191",35,"More Strict","Males","2001-2014","Firearm",7.18910624946029,10.5240672915115
"192",35,"More Strict","Males","2015-2021","Firearm",7.89130608682743,11.4772913592392
"193",36,"Less Strict","Females","2001-2014","Firearm",0,2.52023687727238
"194",36,"Less Strict","Females","2015-2021","Firearm",0,3.08953438635764
"195",36,"Less Strict","Males","2001-2014","Firearm",11.4833458705529,17.282742259522
"196",36,"Less Strict","Males","2015-2021","Firearm",15.1980389700445,21.4364760409101
"197",36,"More Strict","Females","2001-2014","Firearm",0,1.34105209004702
"198",36,"More Strict","Females","2015-2021","Firearm",0,1.34113943206148
"199",36,"More Strict","Males","2001-2014","Firearm",7.34221402971746,10.5335572935153
"200",36,"More Strict","Males","2015-2021","Firearm",9.61305922742038,10.6556163978097
"201",37,"Less Strict","Females","2001-2014","Firearm",0,2.40089223765295
"202",37,"Less Strict","Females","2015-2021","Firearm",0,3.22337364599615
"203",37,"Less Strict","Males","2001-2014","Firearm",13.5712982615389,17.7293750222696
"204",37,"Less Strict","Males","2015-2021","Firearm",15.1871494406925,21.9849591865115
"205",37,"More Strict","Females","2001-2014","Firearm",0,1.28039073975779
"206",37,"More Strict","Females","2015-2021","Firearm",0,1.20815413429086
"207",37,"More Strict","Males","2001-2014","Firearm",7.49571962765062,10.7240196847223
"208",37,"More Strict","Males","2015-2021","Firearm",9.54899414141124,11.6571561524737
"209",38,"Less Strict","Females","2001-2014","Firearm",0,2.5918803438741
"210",38,"Less Strict","Females","2015-2021","Firearm",0.541171517277171,3.14017957901968
"211",38,"Less Strict","Males","2001-2014","Firearm",13.8928096571633,17.7849638233132
"212",38,"Less Strict","Males","2015-2021","Firearm",16.7760830424803,21.5775635539629
"213",38,"More Strict","Females","2001-2014","Firearm",0,1.26860862455784
"214",38,"More Strict","Females","2015-2021","Firearm",0,1.35549647979901
"215",38,"More Strict","Males","2001-2014","Firearm",7.59124143703161,10.5967191456567
"216",38,"More Strict","Males","2015-2021","Firearm",9.16573775183265,11.6287439250734
"217",39,"Less Strict","Females","2001-2014","Firearm",0,3.20847693867094
"218",39,"Less Strict","Females","2015-2021","Firearm",0,3.17663077876066
"219",39,"Less Strict","Males","2001-2014","Firearm",13.1669414810215,19.5750032961661
"220",39,"Less Strict","Males","2015-2021","Firearm",17.0031808940736,20.6640124419106
"221",39,"More Strict","Females","2001-2014","Firearm",0,1.39876549550328
"222",39,"More Strict","Females","2015-2021","Firearm",0,1.51906674148265
"223",39,"More Strict","Males","2001-2014","Firearm",8.33005149376892,11.1746357266489
"224",39,"More Strict","Males","2015-2021","Firearm",9.86551817098352,11.5436264837658
"225",40,"Less Strict","Females","2001-2014","Firearm",0.292846520895478,3.12078520744235
"226",40,"Less Strict","Females","2015-2021","Firearm",0,3.19775873411621
"227",40,"Less Strict","Males","2001-2014","Firearm",14.2665837241868,19.1263917540768
"228",40,"Less Strict","Males","2015-2021","Firearm",14.7799496171737,22.0155224400492
"229",40,"More Strict","Females","2001-2014","Firearm",0,1.43632107479061
"230",40,"More Strict","Females","2015-2021","Firearm",0,1.39407591110198
"231",40,"More Strict","Males","2001-2014","Firearm",7.74664455525653,11.6964476927459
"232",40,"More Strict","Males","2015-2021","Firearm",7.84369425279803,12.2827034731192
"233",41,"Less Strict","Females","2001-2014","Firearm",0,3.3206902974423
"234",41,"Less Strict","Females","2015-2021","Firearm",1.13295132274642,3.21194736714559
"235",41,"Less Strict","Males","2001-2014","Firearm",15.5351804826253,18.6172399544964
"236",41,"Less Strict","Males","2015-2021","Firearm",16.0398901870177,21.5636006421161
"237",41,"More Strict","Females","2001-2014","Firearm",0.181205246834163,1.41471658932041
"238",41,"More Strict","Females","2015-2021","Firearm",0,1.56192268073046
"239",41,"More Strict","Males","2001-2014","Firearm",8.51269524519552,11.4447784356423
"240",41,"More Strict","Males","2015-2021","Firearm",7.62326216398582,13.0305121287415
"241",42,"Less Strict","Females","2001-2014","Firearm",0,3.29603336886604
"242",42,"Less Strict","Females","2015-2021","Firearm",0.769766645241495,3.24638236690093
"243",42,"Less Strict","Males","2001-2014","Firearm",14.3680466754096,18.4656593263527
"244",42,"Less Strict","Males","2015-2021","Firearm",15.3718488104493,22.3385227035604
"245",42,"More Strict","Females","2001-2014","Firearm",0,1.46679454217703
"246",42,"More Strict","Females","2015-2021","Firearm",0,1.39780175383539
