"","AgeGroup","grade","Sex","YearGroup","AvgDeathsPer100k","category"
"75","31–40","Less Strict","Males","2001-2014",15.804873936385,"Non-Firearm"
"76","31–40","Less Strict","Males","2015-2021",17.5766080926268,"Non-Firearm"
"77","31–40","More Strict","Females","2001-2014",7.14574744787487,"Non-Firearm"
"78","31–40","More Strict","Females","2015-2021",7.72936683285864,"Non-Firearm"
"79","31–40","More Strict","Males","2001-2014",12.4492117666179,"Non-Firearm"
"80","31–40","More Strict","Males","2015-2021",14.0268975478348,"Non-Firearm"
"81","41–50","Less Strict","Females","2001-2014",10.5016220174064,"Non-Firearm"
"82","41–50","Less Strict","Females","2015-2021",10.942855709831,"Non-Firearm"
"83","41–50","Less Strict","Males","2001-2014",16.0439022007538,"Non-Firearm"
"84","41–50","Less Strict","Males","2015-2021",17.101936354651,"Non-Firearm"
"85","41–50","More Strict","Females","2001-2014",7.9073061815973,"Non-Firearm"
"86","41–50","More Strict","Females","2015-2021",8.7488916764384,"Non-Firearm"
"87","41–50","More Strict","Males","2001-2014",13.7363775121066,"Non-Firearm"
"88","41–50","More Strict","Males","2015-2021",14.1424429270851,"Non-Firearm"
"89","51–60","Less Strict","Females","2001-2014",10.2434773181143,"Non-Firearm"
"90","51–60","Less Strict","Females","2015-2021",10.7710876646148,"Non-Firearm"
"91","51–60","Less Strict","Males","2001-2014",15.2230302725369,"Non-Firearm"
"92","51–60","Less Strict","Males","2015-2021",15.9229570827671,"Non-Firearm"
"93","51–60","More Strict","Females","2001-2014",8.53743054725679,"Non-Firearm"
"94","51–60","More Strict","Females","2015-2021",8.55189254622217,"Non-Firearm"
"95","51–60","More Strict","Males","2001-2014",13.4325086525202,"Non-Firearm"
"96","51–60","More Strict","Males","2015-2021",14.6548895442329,"Non-Firearm"
"97","61-70","Less Strict","Females","2001-2014",8.46683223582569,"Non-Firearm"
"98","61-70","Less Strict","Females","2015-2021",8.77338155443788,"Non-Firearm"
"99","61-70","Less Strict","Males","2001-2014",12.398594696233,"Non-Firearm"
"100","61-70","Less Strict","Males","2015-2021",12.8647525462303,"Non-Firearm"
"101","61-70","More Strict","Females","2001-2014",8.11827327254385,"Non-Firearm"
"102","61-70","More Strict","Females","2015-2021",8.06152729846381,"Non-Firearm"
"103","61-70","More Strict","Males","2001-2014",12.4156603453712,"Non-Firearm"
"104","61-70","More Strict","Males","2015-2021",12.2585354643257,"Non-Firearm"
"105","71-80","Less Strict","Females","2001-2014",7.24224398086263,"Non-Firearm"
"106","71-80","Less Strict","Females","2015-2021",7.77711253803654,"Non-Firearm"
"107","71-80","Less Strict","Males","2001-2014",13.1971040380284,"Non-Firearm"
"108","71-80","Less Strict","Males","2015-2021",12.8990094060018,"Non-Firearm"
"109","71-80","More Strict","Females","2001-2014",8.2523488496206,"Non-Firearm"
"110","71-80","More Strict","Females","2015-2021",8.80910201058849,"Non-Firearm"
"111","71-80","More Strict","Males","2001-2014",15.2232219200074,"Non-Firearm"
"112","71-80","More Strict","Males","2015-2021",13.9910226246268,"Non-Firearm"
"113","12–20","Less Strict","Females","2001-2014",7.04015689044578,"All"
"114","12–20","Less Strict","Females","2015-2021",9.66498326834197,"All"
"115","12–20","Less Strict","Males","2001-2014",14.0546769621049,"All"
"116","12–20","Less Strict","Males","2015-2021",17.5195954207232,"All"
"117","12–20","More Strict","Females","2001-2014",5.37307437806664,"All"
"118","12–20","More Strict","Females","2015-2021",6.95805741843012,"All"
"119","12–20","More Strict","Males","2001-2014",9.67287078402435,"All"
"120","12–20","More Strict","Males","2015-2021",12.0001260121118,"All"
"121","21–30","Less Strict","Females","2001-2014",10.1256582997816,"All"
"122","21–30","Less Strict","Females","2015-2021",11.7186820251557,"All"
"123","21–30","Less Strict","Males","2001-2014",25.8491909107876,"All"
"124","21–30","Less Strict","Males","2015-2021",32.9165312413943,"All"
"125","21–30","More Strict","Females","2001-2014",7.12620458245208,"All"
"126","21–30","More Strict","Females","2015-2021",7.99060054917843,"All"
"127","21–30","More Strict","Males","2001-2014",18.5578753173195,"All"
"128","21–30","More Strict","Males","2015-2021",23.2668722918252,"All"
"129","31–40","Less Strict","Females","2001-2014",11.8317342984679,"All"
"130","31–40","Less Strict","Females","2015-2021",12.8532019629149,"All"
"131","31–40","Less Strict","Males","2001-2014",27.1083778380183,"All"
"132","31–40","Less Strict","Males","2015-2021",32.6363904080489,"All"
"133","31–40","More Strict","Females","2001-2014",7.92430468937036,"All"
"134","31–40","More Strict","Females","2015-2021",8.47514737677368,"All"
"135","31–40","More Strict","Males","2001-2014",19.4010187039016,"All"
"136","31–40","More Strict","Males","2015-2021",22.6237287319803,"All"
"137","41–50","Less Strict","Females","2001-2014",13.4405904478445,"All"
"138","41–50","Less Strict","Females","2015-2021",14.176793382777,"All"
"139","41–50","Less Strict","Males","2001-2014",30.3138852642659,"All"
"140","41–50","Less Strict","Males","2015-2021",32.7076119298607,"All"
"141","41–50","More Strict","Females","2001-2014",8.80051998588569,"All"
"142","41–50","More Strict","Females","2015-2021",9.60668203298822,"All"
"143","41–50","More Strict","Males","2001-2014",23.3633475884097,"All"
"144","41–50","More Strict","Males","2015-2021",23.5169774404059,"All"
"145","51–60","Less Strict","Females","2001-2014",13.4859264655865,"All"
"146","51–60","Less Strict","Females","2015-2021",14.3201916682933,"All"
"147","51–60","Less Strict","Males","2001-2014",30.9245365516915,"All"
"148","51–60","Less Strict","Males","2015-2021",33.71503609551,"All"
"149","51–60","More Strict","Females","2001-2014",9.64107623453319,"All"
"150","51–60","More Strict","Females","2015-2021",9.64693586824692,"All"
"151","51–60","More Strict","Males","2001-2014",24.6391947837411,"All"
