"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","15 to 19","Oregon","28","251,000","11.16","--","1,321"
"2021","15 to 19","Pennsylvania","80","820,381","9.75","--","3,827"
"2021","15 to 19","Rhode Island","--","73,144","--","--","--"
"2021","15 to 19","South Carolina","47","331,272","14.19","--","2,234"
"2021","15 to 19","South Dakota","25","60,932","41.03","--","1,178"
"2021","15 to 19","Tennessee","54","437,455","12.34","--","2,578"
"2021","15 to 19","Texas","246","2,120,112","11.60","--","11,715"
"2021","15 to 19","Utah","45","270,351","16.65","--","2,142"
"2021","15 to 19","Vermont","--","42,758","--","--","--"
"2021","15 to 19","Virginia","66","556,667","11.86","--","3,143"
"2021","15 to 19","Washington","66","459,616","14.36","--","3,142"
"2021","15 to 19","West Virginia","12**","107,557","11.16**","--","575"
"2021","15 to 19","Wisconsin","46","387,382","11.88","--","2,201"
"2021","15 to 19","Wyoming","17**","38,231","44.47**","--","810"
"2021","20 to 24","Alabama","58","329,131","17.62","--","2,500"
"2021","20 to 24","Alaska","41","50,263","81.57","--","1,761"
"2021","20 to 24","Arizona","127","491,891","25.82","--","5,445"
"2021","20 to 24","Arkansas","49","199,930","24.51","--","2,097"
"2021","20 to 24","California","338","2,539,686","13.31","--","14,505"
"2021","20 to 24","Colorado","110","378,373","29.07","--","4,714"
"2021","20 to 24","Connecticut","35","239,441","14.62","--","1,487"
"2021","20 to 24","Delaware","16**","57,907","27.63**","--","687"
"2021","20 to 24","District of Columbia","--","45,630","--","--","--"
"2021","20 to 24","Florida","220","1,252,319","17.57","--","9,455"
"2021","20 to 24","Georgia","166","729,556","22.75","--","7,163"
"2021","20 to 24","Hawaii","15**","87,752","17.09**","--","645"
"2021","20 to 24","Idaho","26","123,806","21.00","--","1,123"
"2021","20 to 24","Illinois","123","815,109","15.09","--","5,290"
"2021","20 to 24","Indiana","107","474,397","22.56","--","4,604"
"2021","20 to 24","Iowa","41","225,683","18.17","--","1,770"
"2021","20 to 24","Kansas","58","211,764","27.39","--","2,522"
"2021","20 to 24","Kentucky","78","299,092","26.08","--","3,339"
"2021","20 to 24","Louisiana","56","300,583","18.63","--","2,397"
"2021","20 to 24","Maine","16**","75,134","21.30**","--","686"
"2021","20 to 24","Maryland","55","372,307","14.77","--","2,363"
"2021","20 to 24","Massachusetts","44","478,757","9.19","--","1,888"
"2021","20 to 24","Michigan","130","671,349","19.36","--","5,542"
"2021","20 to 24","Minnesota","71","353,691","20.07","--","3,043"
"2021","20 to 24","Mississippi","43","198,356","21.68","--","1,847"
"2021","20 to 24","Missouri","107","402,026","26.62","--","4,595"
"2021","20 to 24","Montana","30","73,376","40.89","--","1,292"
"2021","20 to 24","Nebraska","23","136,367","16.87","--","990"
"2021","20 to 24","Nevada","63","183,528","34.33","--","2,713"
"2021","20 to 24","New Hampshire","17**","86,826","19.58**","--","723"
"2021","20 to 24","New Jersey","59","553,446","10.66","--","2,522"
"2021","20 to 24","New Mexico","55","140,578","39.12","--","2,390"
"2021","20 to 24","New York","107","1,245,493","8.59","--","4,599"
"2021","20 to 24","North Carolina","144","701,352","20.53","--","6,204"
"2021","20 to 24","North Dakota","20**","61,866","32.33**","--","855"
"2021","20 to 24","Ohio","160","748,464","21.38","--","6,853"
"2021","20 to 24","Oklahoma","90","276,960","32.50","--","3,875"
"2021","20 to 24","Oregon","60","259,922","23.08","--","2,578"
"2021","20 to 24","Pennsylvania","127","793,161","16.01","--","5,446"
"2021","20 to 24","Rhode Island","--","75,681","--","--","--"
"2021","20 to 24","South Carolina","73","330,203","22.11","--","3,142"
"2021","20 to 24","South Dakota","26","59,304","43.84","--","1,110"
"2021","20 to 24","Tennessee","92","449,447","20.47","--","3,955"
"2021","20 to 24","Texas","448","2,030,728","22.06","--","19,219"
"2021","20 to 24","Utah","71","277,071","25.63","--","3,059"
"2021","20 to 24","Vermont","--","45,360","--","--","--"
"2021","20 to 24","Virginia","128","572,429","22.36","--","5,496"
"2021","20 to 24","Washington","112","476,815","23.49","--","4,792"
