"Age","Year","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2","2015","Males","0**","2,028,128","0.00**","--","--"
"2","2015","Females","0**","1,939,544","0.00**","--","--"
"2","2014","Males","0**","2,024,415","0.00**","--","--"
"2","2014","Females","0**","1,935,600","0.00**","--","--"
"2","2013","Males","0**","2,042,931","0.00**","--","--"
"2","2013","Females","0**","1,950,116","0.00**","--","--"
"2","2012","Males","0**","2,031,978","0.00**","--","--"
"2","2012","Females","0**","1,948,161","0.00**","--","--"
"2","2011","Males","0**","2,026,825","0.00**","--","--"
"2","2011","Females","0**","1,944,673","0.00**","--","--"
"2","2010","Males","0**","2,092,202","0.00**","--","--"
"2","2010","Females","0**","2,004,737","0.00**","--","--"
"2","2009","Males","0**","2,097,732","0.00**","--","--"
"2","2009","Females","0**","2,005,270","0.00**","--","--"
"2","2008","Males","0**","2,046,261","0.00**","--","--"
"2","2008","Females","0**","1,957,862","0.00**","--","--"
"2","2007","Males","0**","2,031,159","0.00**","--","--"
"2","2007","Females","0**","1,942,282","0.00**","--","--"
"2","2006","Males","0**","2,037,686","0.00**","--","--"
"2","2006","Females","0**","1,950,403","0.00**","--","--"
"2","2005","Males","0**","2,020,286","0.00**","--","--"
"2","2005","Females","0**","1,932,311","0.00**","--","--"
"2","2004","Males","0**","2,008,411","0.00**","--","--"
"2","2004","Females","0**","1,925,314","0.00**","--","--"
"2","2003","Males","0**","2,043,520","0.00**","--","--"
"2","2003","Females","0**","1,959,303","0.00**","--","--"
"2","2002","Males","0**","1,972,925","0.00**","--","--"
"2","2002","Females","0**","1,883,184","0.00**","--","--"
"2","2001","Males","0**","1,942,924","0.00**","--","--"
"2","2001","Females","0**","1,857,187","0.00**","--","--"
"3","2021","Males","0**","1,971,550","0.00**","--","--"
"3","2021","Females","0**","1,885,193","0.00**","--","--"
"3","2020","Males","0**","2,011,857","0.00**","--","--"
"3","2020","Females","0**","1,919,586","0.00**","--","--"
"3","2019","Males","0**","2,048,651","0.00**","--","--"
"3","2019","Females","0**","1,960,386","0.00**","--","--"
"3","2018","Males","0**","2,062,901","0.00**","--","--"
"3","2018","Females","0**","1,972,152","0.00**","--","--"
"3","2017","Males","0**","2,051,634","0.00**","--","--"
"3","2017","Females","0**","1,957,426","0.00**","--","--"
"3","2016","Males","0**","2,036,834","0.00**","--","--"
"3","2016","Females","0**","1,948,151","0.00**","--","--"
"3","2015","Males","0**","2,032,589","0.00**","--","--"
"3","2015","Females","0**","1,943,688","0.00**","--","--"
"3","2014","Males","0**","2,050,238","0.00**","--","--"
"3","2014","Females","0**","1,957,614","0.00**","--","--"
"3","2013","Males","0**","2,038,041","0.00**","--","--"
"3","2013","Females","0**","1,954,798","0.00**","--","--"
"3","2012","Males","0**","2,032,318","0.00**","--","--"
"3","2012","Females","0**","1,950,689","0.00**","--","--"
"3","2011","Males","0**","2,094,203","0.00**","--","--"
"3","2011","Females","0**","2,008,226","0.00**","--","--"
"3","2010","Males","0**","2,104,555","0.00**","--","--"
"3","2010","Females","0**","2,014,496","0.00**","--","--"
"3","2009","Males","0**","2,056,282","0.00**","--","--"
"3","2009","Females","0**","1,969,393","0.00**","--","--"
"3","2008","Males","0**","2,039,938","0.00**","--","--"
"3","2008","Females","0**","1,952,359","0.00**","--","--"
"3","2007","Males","0**","2,045,129","0.00**","--","--"
"3","2007","Females","0**","1,958,851","0.00**","--","--"
"3","2006","Males","0**","2,026,567","0.00**","--","--"
"3","2006","Females","0**","1,939,429","0.00**","--","--"
"3","2005","Males","0**","2,012,820","0.00**","--","--"
"3","2005","Females","0**","1,930,386","0.00**","--","--"
"3","2004","Males","0**","2,045,914","0.00**","--","--"
"3","2004","Females","0**","1,962,286","0.00**","--","--"
"3","2003","Males","0**","1,974,984","0.00**","--","--"
"3","2003","Females","0**","1,885,731","0.00**","--","--"
"3","2002","Males","0**","1,944,904","0.00**","--","--"
"3","2002","Females","0**","1,859,428","0.00**","--","--"
"3","2001","Males","0**","1,945,263","0.00**","--","--"
"3","2001","Females","0**","1,857,436","0.00**","--","--"
"4","2021","Males","0**","2,013,985","0.00**","--","--"
"4","2021","Females","0**","1,921,753","0.00**","--","--"
"4","2020","Males","0**","2,062,618","0.00**","--","--"
"4","2020","Females","0**","1,973,350","0.00**","--","--"
"4","2019","Males","0**","2,068,251","0.00**","--","--"
"4","2019","Females","0**","1,977,745","0.00**","--","--"
"4","2018","Males","0**","2,058,006","0.00**","--","--"
"4","2018","Females","0**","1,963,901","0.00**","--","--"
"4","2017","Males","0**","2,044,539","0.00**","--","--"
"4","2017","Females","0**","1,955,855","0.00**","--","--"
"4","2016","Males","0**","2,040,555","0.00**","--","--"
"4","2016","Females","0**","1,951,686","0.00**","--","--"
"4","2015","Males","0**","2,057,652","0.00**","--","--"
"4","2015","Females","0**","1,965,133","0.00**","--","--"
"4","2014","Males","0**","2,044,770","0.00**","--","--"
"4","2014","Females","0**","1,961,637","0.00**","--","--"
"4","2013","Males","0**","2,037,855","0.00**","--","--"
"4","2013","Females","0**","1,956,684","0.00**","--","--"
"4","2012","Males","0**","2,099,226","0.00**","--","--"
"4","2012","Females","0**","2,013,623","0.00**","--","--"
"4","2011","Males","0**","2,106,228","0.00**","--","--"
"4","2011","Females","0**","2,016,024","0.00**","--","--"
"4","2010","Males","0**","2,077,556","0.00**","--","--"
"4","2010","Females","0**","1,985,630","0.00**","--","--"
"4","2009","Males","0**","2,062,779","0.00**","--","--"
"4","2009","Females","0**","1,970,678","0.00**","--","--"
"4","2008","Males","0**","2,065,716","0.00**","--","--"
"4","2008","Females","0**","1,975,423","0.00**","--","--"
"4","2007","Males","0**","2,044,420","0.00**","--","--"
"4","2007","Females","0**","1,953,800","0.00**","--","--"
"4","2006","Males","0**","2,028,185","0.00**","--","--"
"4","2006","Females","0**","1,942,671","0.00**","--","--"
"4","2005","Males","0**","2,058,198","0.00**","--","--"
"4","2005","Females","0**","1,971,903","0.00**","--","--"
"4","2004","Males","0**","1,983,930","0.00**","--","--"
"4","2004","Females","0**","1,892,657","0.00**","--","--"
"4","2003","Males","0**","1,951,951","0.00**","--","--"
"4","2003","Females","0**","1,864,927","0.00**","--","--"
"4","2002","Males","0**","1,950,712","0.00**","--","--"
"4","2002","Females","0**","1,861,881","0.00**","--","--"
"4","2001","Males","0**","1,956,037","0.00**","--","--"
"4","2001","Females","0**","1,871,306","0.00**","--","--"
"5","2021","Males","0**","2,064,722","0.00**","--","--"
"5","2021","Females","0**","1,975,431","0.00**","--","--"
"5","2020","Males","0**","2,080,394","0.00**","--","--"
"5","2020","Females","0**","1,992,304","0.00**","--","--"
"5","2019","Males","0**","2,063,176","0.00**","--","--"
"5","2019","Females","0**","1,969,055","0.00**","--","--"
"5","2018","Males","0**","2,050,649","0.00**","--","--"
"5","2018","Females","0**","1,962,140","0.00**","--","--"
"5","2017","Males","0**","2,048,118","0.00**","--","--"
"5","2017","Females","0**","1,959,115","0.00**","--","--"
"5","2016","Males","0**","2,065,281","0.00**","--","--"
"5","2016","Females","0**","1,972,741","0.00**","--","--"
"5","2015","Males","0**","2,051,812","0.00**","--","--"
"5","2015","Females","0**","1,968,677","0.00**","--","--"
"5","2014","Males","0**","2,044,132","0.00**","--","--"
"5","2014","Females","0**","1,962,991","0.00**","--","--"
"5","2013","Males","0**","2,104,609","0.00**","--","--"
"5","2013","Females","0**","2,019,136","0.00**","--","--"
"5","2012","Males","0**","2,111,297","0.00**","--","--"
"5","2012","Females","0**","2,021,052","0.00**","--","--"
"5","2011","Males","0**","2,089,397","0.00**","--","--"
"5","2011","Females","0**","1,998,373","0.00**","--","--"
"5","2010","Males","0**","2,072,102","0.00**","--","--"
"5","2010","Females","0**","1,984,770","0.00**","--","--"
"5","2009","Males","0**","2,078,709","0.00**","--","--"
"5","2009","Females","0**","1,991,556","0.00**","--","--"
"5","2008","Males","0**","2,056,151","0.00**","--","--"
"5","2008","Females","0**","1,968,104","0.00**","--","--"
"5","2007","Males","0**","2,038,470","0.00**","--","--"
"5","2007","Females","0**","1,954,982","0.00**","--","--"
"5","2006","Males","0**","2,067,609","0.00**","--","--"
"5","2006","Females","0**","1,982,949","0.00**","--","--"
"5","2005","Males","0**","1,991,625","0.00**","--","--"
"5","2005","Females","0**","1,901,466","0.00**","--","--"
"5","2004","Males","0**","1,957,851","0.00**","--","--"
"5","2004","Females","0**","1,871,765","0.00**","--","--"
"5","2003","Males","0**","1,955,884","0.00**","--","--"
"5","2003","Females","0**","1,867,675","0.00**","--","--"
"5","2002","Males","0**","1,960,786","0.00**","--","--"
"5","2002","Females","0**","1,876,394","0.00**","--","--"
"5","2001","Males","0**","2,000,816","0.00**","--","--"
"5","2001","Females","0**","1,909,212","0.00**","--","--"
"6","2021","Males","0**","2,082,411","0.00**","--","--"
"6","2021","Females","0**","1,994,218","0.00**","--","--"
"6","2020","Males","0**","2,079,364","0.00**","--","--"
"6","2020","Females","0**","1,981,545","0.00**","--","--"
"6","2019","Males","0**","2,055,583","0.00**","--","--"
"6","2019","Females","0**","1,966,849","0.00**","--","--"
"6","2018","Males","0**","2,054,029","0.00**","--","--"
"6","2018","Females","0**","1,965,077","0.00**","--","--"
"6","2017","Males","0**","2,072,597","0.00**","--","--"
"6","2017","Females","0**","1,979,831","0.00**","--","--"
"6","2016","Males","0**","2,059,138","0.00**","--","--"
"6","2016","Females","0**","1,975,831","0.00**","--","--"
"6","2015","Males","0**","2,050,863","0.00**","--","--"
"6","2015","Females","0**","1,969,565","0.00**","--","--"
"6","2014","Males","0**","2,110,609","0.00**","--","--"
"6","2014","Females","0**","2,025,129","0.00**","--","--"
"6","2013","Males","0**","2,116,598","0.00**","--","--"
"6","2013","Females","0**","2,026,325","0.00**","--","--"
"6","2012","Males","0**","2,094,484","0.00**","--","--"
"6","2012","Females","0**","2,003,376","0.00**","--","--"
"6","2011","Males","0**","2,081,794","0.00**","--","--"
"6","2011","Females","0**","1,993,359","0.00**","--","--"
"6","2010","Males","0**","2,075,330","0.00**","--","--"
"6","2010","Females","0**","1,991,082","0.00**","--","--"
"6","2009","Males","0**","2,051,558","0.00**","--","--"
"6","2009","Females","0**","1,966,642","0.00**","--","--"
"6","2008","Males","0**","2,034,486","0.00**","--","--"
"6","2008","Females","0**","1,953,599","0.00**","--","--"
"6","2007","Males","0**","2,064,410","0.00**","--","--"
"6","2007","Females","0**","1,981,982","0.00**","--","--"
"6","2006","Males","0**","1,989,857","0.00**","--","--"
"6","2006","Females","0**","1,901,433","0.00**","--","--"
"6","2005","Males","0**","1,956,463","0.00**","--","--"
"6","2005","Females","0**","1,871,695","0.00**","--","--"
"6","2004","Males","0**","1,954,555","0.00**","--","--"
"6","2004","Females","0**","1,867,528","0.00**","--","--"
"6","2003","Males","0**","1,960,666","0.00**","--","--"
"6","2003","Females","0**","1,877,098","0.00**","--","--"
"6","2002","Males","0**","2,002,029","0.00**","--","--"
"6","2002","Females","0**","1,911,035","0.00**","--","--"
"6","2001","Males","0**","2,034,573","0.00**","--","--"
"6","2001","Females","0**","1,937,927","0.00**","--","--"
"7","2021","Males","0**","2,081,253","0.00**","--","--"
"7","2021","Females","0**","1,983,343","0.00**","--","--"
"7","2020","Males","0**","2,068,700","0.00**","--","--"
"7","2020","Females","0**","1,979,319","0.00**","--","--"
"7","2019","Males","0**","2,058,425","0.00**","--","--"
"7","2019","Females","0**","1,969,451","0.00**","--","--"
"7","2018","Males","0**","2,078,197","0.00**","--","--"
"7","2018","Females","0**","1,985,450","0.00**","--","--"
"7","2017","Males","0**","2,065,915","0.00**","--","--"
"7","2017","Females","0**","1,982,515","0.00**","--","--"
"7","2016","Males","0**","2,057,966","0.00**","--","--"
"7","2016","Females","0**","1,976,389","0.00**","--","--"
"7","2015","Males","0**","2,117,169","0.00**","--","--"
"7","2015","Females","0**","2,031,542","0.00**","--","--"
"7","2014","Males","0**","2,122,609","0.00**","--","--"
"7","2014","Females","0**","2,032,338","0.00**","--","--"
"7","2013","Males","0**","2,099,578","0.00**","--","--"
"7","2013","Females","0**","2,008,875","0.00**","--","--"
"7","2012","Males","0**","2,086,653","0.00**","--","--"
"7","2012","Females","0**","1,998,602","0.00**","--","--"
"7","2011","Males","0**","2,084,406","0.00**","--","--"
"7","2011","Females","0**","1,998,993","0.00**","--","--"
"7","2010","Males","0**","2,057,082","0.00**","--","--"
"7","2010","Females","0**","1,973,512","0.00**","--","--"
"7","2009","Males","0**","2,048,522","0.00**","--","--"
"7","2009","Females","0**","1,968,502","0.00**","--","--"
"7","2008","Males","0**","2,077,427","0.00**","--","--"
"7","2008","Females","0**","1,995,834","0.00**","--","--"
"7","2007","Males","0**","2,001,231","0.00**","--","--"
"7","2007","Females","0**","1,913,466","0.00**","--","--"
"7","2006","Males","0**","1,966,493","0.00**","--","--"
"7","2006","Females","0**","1,882,274","0.00**","--","--"
"7","2005","Males","0**","1,962,651","0.00**","--","--"
"7","2005","Females","0**","1,876,191","0.00**","--","--"
"7","2004","Males","0**","1,966,771","0.00**","--","--"
"7","2004","Females","0**","1,883,862","0.00**","--","--"
"7","2003","Males","0**","2,007,360","0.00**","--","--"
"7","2003","Females","0**","1,916,826","0.00**","--","--"
"7","2002","Males","0**","2,039,317","0.00**","--","--"
"7","2002","Females","0**","1,943,041","0.00**","--","--"
"7","2001","Males","0**","2,054,048","0.00**","--","--"
"7","2001","Females","0**","1,958,002","0.00**","--","--"
"8","2021","Males","0**","2,070,502","0.00**","--","--"
"8","2021","Females","--","1,981,053","--","--","--"
"8","2020","Males","0**","2,075,521","0.00**","--","--"
"8","2020","Females","0**","1,979,644","0.00**","--","--"
"8","2019","Males","0**","2,082,403","0.00**","--","--"
"8","2019","Females","0**","1,989,491","0.00**","--","--"
"8","2018","Males","--","2,071,493","--","--","--"
"8","2018","Females","0**","1,987,716","0.00**","--","--"
"8","2017","Males","0**","2,064,602","0.00**","--","--"
"8","2017","Females","0**","1,982,528","0.00**","--","--"
"8","2016","Males","0**","2,124,156","0.00**","--","--"
"8","2016","Females","0**","2,037,986","0.00**","--","--"
"8","2015","Males","--","2,129,067","--","--","--"
"8","2015","Females","0**","2,038,698","0.00**","--","--"
"8","2014","Males","0**","2,105,426","0.00**","--","--"
"8","2014","Females","0**","2,015,050","0.00**","--","--"
"8","2013","Males","0**","2,091,612","0.00**","--","--"
"8","2013","Females","0**","2,004,421","0.00**","--","--"
"8","2012","Males","0**","2,089,213","0.00**","--","--"
"8","2012","Females","0**","2,004,340","0.00**","--","--"
"8","2011","Males","0**","2,068,032","0.00**","--","--"
"8","2011","Females","0**","1,985,281","0.00**","--","--"
"8","2010","Males","0**","2,065,459","0.00**","--","--"
"8","2010","Females","0**","1,981,038","0.00**","--","--"
"8","2009","Males","0**","2,087,842","0.00**","--","--"
"8","2009","Females","0**","2,002,104","0.00**","--","--"
"8","2008","Males","0**","2,010,916","0.00**","--","--"
"8","2008","Females","0**","1,919,601","0.00**","--","--"
"8","2007","Males","0**","1,975,234","0.00**","--","--"
"8","2007","Females","0**","1,887,868","0.00**","--","--"
"8","2006","Males","0**","1,970,666","0.00**","--","--"
"8","2006","Females","0**","1,881,580","0.00**","--","--"
"8","2005","Males","0**","1,973,533","0.00**","--","--"
"8","2005","Females","0**","1,888,344","0.00**","--","--"
"8","2004","Males","0**","2,012,723","0.00**","--","--"
"8","2004","Females","0**","1,920,437","0.00**","--","--"
"8","2003","Males","0**","2,044,318","0.00**","--","--"
"8","2003","Females","0**","1,946,752","0.00**","--","--"
